ipa	name	sound	Phonetic detail	English	German	French	Portuguese	Italian	Spanish	Swedish
ʁ	Voiced uvular fricative	https://upload.wikimedia.org/wikipedia/commons/a/af/Voiced_uvular_fricative.ogg	-	-	reden	regarder, nôtre	rio, carro, enrascado, lingerie,pôr, porto, por favor			
r	alveolar trill	https://upload.wikimedia.org/wikipedia/commons/c/ce/Alveolar_trill.ogg	-	rye, try, very	reden	-		Roma, quattro, morte	rumbo, carro, honra, amor, amor eterno	rov
rʲ										
ɾ	alveolar tap	https://upload.wikimedia.org/wikipedia/commons/a/a0/Alveolar_tap.ogg					frio, caro, por acaso		caro, bravo, amor eterno	
s	Voiceless alveolar fricative	https://upload.wikimedia.org/wikipedia/commons/a/ac/Voiceless_alveolar_sibilant.ogg	-	sigh, mass	lassen, Haus, groß	sans, ça, assez	saco, isso, braço, máximo	sano, scusa, presentire, pasto	saco, espita, xenón	sot
θ	Voiceless dental fricative	https://upload.wikimedia.org/wikipedia/commons/8/80/Voiceless_dental_fricative.ogg	-	thigh, math	-	-			cereal, encima, zorro, enzima, paz	
sʲ										torsdag
ʂ	Voiceless retroflex sibilant	https://upload.wikimedia.org/wikipedia/commons/b/b1/Voiceless_retroflex_sibilant.ogg								
ɕ	Voiceless alveolo-palatal sibilant	https://en.wikipedia.org/wiki/File:Voiceless_alveolo-palatal_sibilant.ogg								kjol
ɕː	Voiceless alveolo-palatal sibilant	https://en.wikipedia.org/wiki/File:Voiceless_alveolo-palatal_sibilant.ogg								
ʃ	Voiceless palato-alveolar sibilant	https://upload.wikimedia.org/wikipedia/commons/c/cc/Voiceless_palato-alveolar_sibilant.ogg	-	shy, cash, emotion	schon, Stadt	chance	chave, achar, xarope, baixo, sushi	scena, scià, pesci, flash, chic	show, Rocher, Freixenet	
t	voiceless alveolar stop	https://upload.wikimedia.org/wikipedia/commons/0/02/Voiceless_alveolar_plosive.ogg	-	tie, sty, cat, atom	Tag, und	tout, thé, grand-oncle	tempo, átomo	tranne, mito, altro, thai	tamiz, átomo	tok
tʲ										
ʈ	Voiceless retroflex stop	https://upload.wikimedia.org/wikipedia/commons/b/b0/Voiceless_retroflex_stop.oga								parti
ts	Voiceless alveolar affricate	https://upload.wikimedia.org/wikipedia/commons/9/97/Voiceless_palato-alveolar_affricate.ogg	-	-	Zeit, Platz	-		zio, sozzo, marzo	abertzale, Pátzcuaro	
tɕ	Voiceless alveolo-palatal affricate	https://upload.wikimedia.org/wikipedia/commons/c/c4/Voiceless_alveolo-palatal_affricate.ogg								
tʃ	Voiceless palato-alveolar affricate	https://upload.wikimedia.org/wikipedia/commons/9/97/Voiceless_palato-alveolar_affricate.ogg	-	china, catch	Matsch	-	tchau, atchim	certo, ciao, farmacia, chip	chubasco, acechar	
v	Voiced labiodental fricative	https://upload.wikimedia.org/wikipedia/commons/8/85/Voiced_labiodental_fricative.ogg	-	vie, have	was	vous, wagon, neuf heures	vela, livro	vado, povero, watt	afgano	våt
vʲ	Voiced labiodental fricative	https://upload.wikimedia.org/wikipedia/commons/8/85/Voiced_labiodental_fricative.ogg	palatalized							
x	Voiceless velar fricative	https://upload.wikimedia.org/wikipedia/commons/0/0f/Voiceless_velar_fricative.ogg	-	-	nach	-			jamón, general, México, hamster	
xʲ	Voiceless velar fricative	https://upload.wikimedia.org/wikipedia/commons/0/0f/Voiceless_velar_fricative.ogg								
z	Voiced alveolar fricative	https://upload.wikimedia.org/wikipedia/commons/c/c0/Voiced_alveolar_sibilant.ogg	-	zoo, has	Sie, diese	zéro, raison, chose	casa, os amigos, doze, existir	sbirro, presentare, asma	isla, mismo, deshuesar	
zʲ	Voiced alveolar fricative	https://upload.wikimedia.org/wikipedia/commons/c/c0/Voiced_alveolar_sibilant.ogg	palatalized							
ʐ	Voiced retroflex sibilant	https://upload.wikimedia.org/wikipedia/commons/7/7f/Voiced_retroflex_sibilant.ogg								
ʑː	Voiced alveolo-palatal sibilant	https://upload.wikimedia.org/wikipedia/commons/1/15/Voiced_alveolo-palatal_sibilant.ogg								
ʔ	Glottal stop	https://upload.wikimedia.org/wikipedia/commons/4/4d/Glottal_stop.ogg	-	-	beamtet					
dʒ	Voiced palato-alveolar affricate	https://upload.wikimedia.org/wikipedia/commons/e/e6/Voiced_palato-alveolar_affricate.ogg	-	giant, badge, jam	Dschungel	-	digo, admite, idade	gelo, giù, magia, judo, gadget		
ʒ	Voiced palato-alveolar sibilant	https://upload.wikimedia.org/wikipedia/commons/3/30/Voiced_palato-alveolar_sibilant.ogg	-	equation, pleasure, vision, beige	Genie	jamais, visage	já, gente			
ɥ	Labialized palatal approximant	https://upload.wikimedia.org/wikipedia/commons/f/fe/Labial-palatal_approximant.ogg				huit, Puy				
w	Voiced labio-velar approximant	https://upload.wikimedia.org/wikipedia/commons/f/f2/Voiced_labio-velar_approximant.ogg				oui, loi, moyen, web, whisky	frequente, quão, mau, Cauã, vejam	uova, guado, qui, week-end		Wales
j	Palatal approximant	https://upload.wikimedia.org/wikipedia/commons/e/e8/Palatal_approximant.ogg	-	yes, hallelujah	Jahr	fief, payer, fille, travail	saia, pais, cães, nuvem	ieri, saio, più, Jesi, yacht, news	aliada, cielo, amplio, ciudad	jord,  Sverige
